key,0,1
21,"TEXT_KINGKW303_05504_SEQ_21",""
22,"TEXT_KINGKW303_05504_SEQ_22",""
23,"TEXT_KINGKW303_05504_SEQ_23",""
24,"TEXT_KINGKW303_05504_TODO_00","<If(LessThan(IntegerParameter(1),IntegerParameter(2)))>Obtenir <SheetFr(Item,1,50977,2,1)/><Else/>Se déséquiper <If(Equal(IntegerParameter(4),19))><SheetFr(Item,9,50032,1,1)/> et <SheetFr(Item,9,50053,1,1)/><Else/><If(Equal(IntegerParameter(4),20))><SheetFr(Item,9,50033,1,1)/><Else/><If(Equal(IntegerParameter(4),21))><SheetFr(Item,9,50034,1,1)/><Else/><If(Equal(IntegerParameter(4),22))><SheetFr(Item,9,50035,1,1)/><Else/><If(Equal(IntegerParameter(4),23))><SheetFr(Item,9,50036,1,1)/><Else/><If(Equal(IntegerParameter(4),24))><SheetFr(Item,9,50037,1,1)/><Else/><If(Equal(IntegerParameter(4),25))><SheetFr(Item,9,50038,1,1)/><Else/><If(Equal(IntegerParameter(4),27))><SheetFr(Item,9,50039,1,1)/><Else/><If(Equal(IntegerParameter(4),28))><SheetFr(Item,9,50040,1,1)/><Else/><If(Equal(IntegerParameter(4),30))><SheetFr(Item,9,50041,1,1)/><Else/><If(Equal(IntegerParameter(4),31))><SheetFr(Item,9,50043,1,1)/><Else/><If(Equal(IntegerParameter(4),32))><SheetFr(Item,9,50042,1,1)/><Else/><If(Equal(IntegerParameter(4),33))><SheetFr(Item,9,50044,1,1)/><Else/><If(Equal(IntegerParameter(4),34))><SheetFr(Item,9,50045,1,1)/><Else/><If(Equal(IntegerParameter(4),35))><SheetFr(Item,9,50046,1,1)/><Else/><If(Equal(IntegerParameter(4),37))><SheetFr(Item,9,50047,1,1)/><Else/><If(Equal(IntegerParameter(4),38))><SheetFr(Item,9,50048,1,1)/><Else/><If(Equal(IntegerParameter(4),39))><SheetFr(Item,9,50049,1,1)/><Else/><If(Equal(IntegerParameter(4),40))><SheetFr(Item,9,50050,1,1)/><Else/><If(Equal(IntegerParameter(4),41))><SheetFr(Item,9,50051,1,1)/><Else/><If(Equal(IntegerParameter(4),42))><SheetFr(Item,9,50052,1,1)/><Else/></If></If></If></If></If></If></If></If></If></If></If></If></If></If></If></If></If></If></If></If></If> et remettre <SheetFr(Item,2,50977,2,1)/> à Dodokkuli</If>"
25,"TEXT_KINGKW303_05504_TODO_01",""
26,"TEXT_KINGKW303_05504_TODO_02",""
27,"TEXT_KINGKW303_05504_TODO_03",""
28,"TEXT_KINGKW303_05504_TODO_04",""
29,"TEXT_KINGKW303_05504_TODO_05",""
30,"TEXT_KINGKW303_05504_TODO_06",""
31,"TEXT_KINGKW303_05504_TODO_07",""
32,"TEXT_KINGKW303_05504_TODO_08",""
33,"TEXT_KINGKW303_05504_TODO_09",""
34,"TEXT_KINGKW303_05504_TODO_10",""
35,"TEXT_KINGKW303_05504_TODO_11",""
36,"TEXT_KINGKW303_05504_TODO_12",""
37,"TEXT_KINGKW303_05504_TODO_13",""
38,"TEXT_KINGKW303_05504_TODO_14",""
39,"TEXT_KINGKW303_05504_TODO_15",""
40,"TEXT_KINGKW303_05504_TODO_16",""
41,"TEXT_KINGKW303_05504_TODO_17",""
42,"TEXT_KINGKW303_05504_TODO_18",""
43,"TEXT_KINGKW303_05504_TODO_19",""
44,"TEXT_KINGKW303_05504_TODO_20",""
45,"TEXT_KINGKW303_05504_TODO_21",""
46,"TEXT_KINGKW303_05504_TODO_22",""
47,"TEXT_KINGKW303_05504_TODO_23",""
48,"TEXT_KINGKW303_05504_GEROLT_000_001","Alors<Indent/>? Qu'est-ce que tu penses du couteau de cuisine fantôme<Indent/>?"
49,"TEXT_KINGKW303_05504_BRIGID_000_005","Même si j'ai apprécié le spectacle de ce Roegadyn pris dans les flammes, j'ai préféré le libérer de son supplice avant qu'il mette le feu aux bâtiments alentour."
50,"TEXT_KINGKW303_05504_SYSTEM_000_010","Vous devez être en possession <SheetFr(Item,9,IntegerParameter(1),1,1)/> et <SheetFr(Item,9,IntegerParameter(2),1,1)/> pour pouvoir accepter cette quête."
51,"TEXT_KINGKW303_05504_SYSTEM_000_011","Vous devez être en possession <SheetFr(Item,9,IntegerParameter(1),1,1)/> pour pouvoir accepter cette quête."
52,"TEXT_KINGKW303_05504_LYDIRCEIL_000_012","Ouf, j'ai cru que ces flammes allaient jamais s'éteindre... Bon, je crois qu'on va enfin pouvoir s'occuper de ton arme fantôme."
53,"TEXT_KINGKW303_05504_SYSTEM_000_013","Si vous commencez la quête “Pureté fantôme” maintenant, l'arme fantôme que vous pourrez améliorer sera celle <If(Equal(PlayerParameter(4),0))><If(Equal(PlayerParameter(68),5))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(Equal(PlayerParameter(68),6))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(Equal(PlayerParameter(68),7))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(Equal(PlayerParameter(68),10))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(Equal(PlayerParameter(68),11))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(Equal(PlayerParameter(68),14))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(Equal(PlayerParameter(68),26))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(Equal(PlayerParameter(68),27))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(Equal(PlayerParameter(68),28))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(Equal(PlayerParameter(68),33))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/>de <Sheet(ClassJob,PlayerParameter(68),0)/></If></If></If></If></If></If></If></If></If></If><Else/><If(Equal(PlayerParameter(68),5))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/><If(Equal(PlayerParameter(68),6))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/><If(Equal(PlayerParameter(68),7))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/><If(Equal(PlayerParameter(68),10))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/><If(Equal(PlayerParameter(68),11))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/><If(Equal(PlayerParameter(68),14))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/><If(Equal(PlayerParameter(68),26))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/><If(Equal(PlayerParameter(68),27))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/><If(Equal(PlayerParameter(68),28))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/><If(Equal(PlayerParameter(68),33))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/>de <Sheet(ClassJob,PlayerParameter(68),2)/></If></If></If></If></If></If></If></If></If></If></If>."
54,"TEXT_KINGKW303_05504_Q1_000_000","Que faites-vous<Indent/>?"
55,"TEXT_KINGKW303_05504_A1_000_001","Prendre le temps de réfléchir"
56,"TEXT_KINGKW303_05504_A1_000_002","Améliorer l'arme <If(Equal(PlayerParameter(4),0))><If(Equal(PlayerParameter(68),5))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(Equal(PlayerParameter(68),6))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(Equal(PlayerParameter(68),7))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(Equal(PlayerParameter(68),10))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(Equal(PlayerParameter(68),11))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(Equal(PlayerParameter(68),14))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(Equal(PlayerParameter(68),26))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(Equal(PlayerParameter(68),27))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(Equal(PlayerParameter(68),28))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/><If(Equal(PlayerParameter(68),33))>d'<Sheet(ClassJob,PlayerParameter(68),0)/><Else/>de <Sheet(ClassJob,PlayerParameter(68),0)/></If></If></If></If></If></If></If></If></If></If><Else/><If(Equal(PlayerParameter(68),5))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/><If(Equal(PlayerParameter(68),6))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/><If(Equal(PlayerParameter(68),7))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/><If(Equal(PlayerParameter(68),10))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/><If(Equal(PlayerParameter(68),11))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/><If(Equal(PlayerParameter(68),14))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/><If(Equal(PlayerParameter(68),26))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/><If(Equal(PlayerParameter(68),27))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/><If(Equal(PlayerParameter(68),28))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/><If(Equal(PlayerParameter(68),33))>d'<Sheet(ClassJob,PlayerParameter(68),2)/><Else/>de <Sheet(ClassJob,PlayerParameter(68),2)/></If></If></If></If></If></If></If></If></If></If></If>"
57,"TEXT_KINGKW303_05504_SYSTEM_000_015","Changez de job si vous le désirez puis reparlez à Lydirceil pour commencer la quête."
58,"TEXT_KINGKW303_05504_LYDIRCEIL_000_016","Ça y est, tout est en place<Indent/>? On a déjà assez attendu, commençons."
59,"TEXT_KINGKW303_05504_GEROLT_000_017","C'était mon intention, mais... Avec l'essai du couteau un peu plus tôt, j'ai réalisé qu'on allait avoir besoin d'un tout dernier préparatif."
60,"TEXT_KINGKW303_05504_GEROLT_000_018","Quand j'ai dissipé le mirage de l'armure, son équilibre éthéré est devenu instable. On peut pas risquer le même effet indésirable avec l'arme de <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>."
61,"TEXT_KINGKW303_05504_GEROLT_000_019","Heu<SoftHyphen/>reu<SoftHyphen/>se<SoftHyphen/>ment, j'ai pensé à une solution<Indent/>: on va reconstruire son noyau pour que l'éther s'y concentre. Avec ça, l'arme devrait retrouver sa forme originelle sans aucune perturbation."
62,"TEXT_KINGKW303_05504_LYDIRCEIL_000_020","Je comprends le problème mais... <Emphasis>Encore</Emphasis> une étape sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>re<Indent/>!?"
63,"TEXT_KINGKW303_05504_GEROLT_000_021","Quand on vise la perfection, on s'embarrasse pas de concessions. D'ailleurs, je sais déjà quel matériau on va utiliser<Indent/>!"
64,"TEXT_KINGKW303_05504_GEROLT_000_022","Les gars de l'expédition ont découvert un nouveau minerai, l'écliptite. Pour notre noyau, j'aurais besoin de, disons... trois morceaux."
65,"TEXT_KINGKW303_05504_LYDIRCEIL_000_023","<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>, tu connais la chanson... Désolé, mais tu vas devoir recourir aux services d'Ermina une fois de plus. Quand tu auras les trois morceaux d'écliptite, donne-les à Dodokkuli."
66,"TEXT_KINGKW303_05504_LYDIRCEIL_000_025","Tu commences à avoir l'habitude... Quand tu auras le minerai, apporte-le à Dodokkuli, pour qu'il mâche le travail de Gerolt."
67,"TEXT_KINGKW303_05504_SYSTEM_000_030","Pour obtenir <SheetFr(Item,2,50977,2,1)/>, apportez le nombre de mémoquartz requis à Ermina."
68,"TEXT_KINGKW303_05504_GEROLT_000_035","Pas la peine de venir chouiner. Avant l'essai avec le couteau de cuisine fantôme, je savais pas qu'on aurait besoin d'une étape sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>re."
69,"TEXT_KINGKW303_05504_BRIGID_000_040","J'approuve la décision du forgeron. Lorsqu'on réclame l'excellence, on doit consentir à tous les sacrifices."
70,"TEXT_KINGKW303_05504_DODOKKULI_000_100","Alors, avez-vous <SheetFr(Item,2,50977,2,1)/><Indent/>?"
71,"TEXT_KINGKW303_05504_DODOKKULI_000_101","Avez-vous réuni les matériaux<Indent/>? Avant de continuer, il faudrait d'abord que vous enleviez votre arme."
72,"TEXT_KINGKW303_05504_SYSTEM_000_102","Une fois <SheetFr(Item,2,50977,2,1)/> <If(<Sheet(Item,50977,6)/>)>livrées<Else/>livrés</If>, votre arme fantôme sera améliorée par Gerolt."
73,"TEXT_KINGKW303_05504_SYSTEM_000_103","Veuillez noter que toute matéria sertie sera détruite pendant l'opération."
74,"TEXT_KINGKW303_05504_DODOKKULI_000_104","Parfait, tout y est. Comme de coutume, je vais maintenant préparer le minerai avant de passer la main à Gerolt."
75,"TEXT_KINGKW303_05504_DODOKKULI_000_105","Réjouissez-vous, nous arrivons enfin au moment tant attendu. Bientôt, votre arme sera libérée de toute illusion superflue, et prête à devenir plus puissante que jamais<Indent/>!"
76,"TEXT_KINGKW303_05504_GEROLT_000_106","Et voilà<Indent/>! L'arme fantôme de <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/> est dotée d'un noyau flambant neuf. Grâce à lui, aucun risque de perturbation de l'équilibre éthéré."
77,"TEXT_KINGKW303_05504_GEROLT_000_107","Sur ce, on a des illusions à dissiper<Indent/>!"
78,"TEXT_KINGKW303_05504_GEROLT_000_108","À l'attaaaaaque<Indent/>!!!"
79,"TEXT_KINGKW303_05504_GEROLT_000_109","Sans surprise, tout s'est passé <Emphasis>exactement</Emphasis> comme je l'avais prévu. Les illusions ont disparu, et l'arme n'a rien perdu de son pouvoir."
80,"TEXT_KINGKW303_05504_GEROLT_000_110","Voilà à quoi ressemble la toute-puissance dans sa forme la plus pure, j'ai nommé... <SheetFr(Item,2,IntegerParameter(1),1,1)/><Indent/>!"
81,"TEXT_KINGKW303_05504_GEROLT_000_111","Voilà à quoi ressemble la toute-puissance dans sa forme la plus pure, j'ai nommé... <SheetFr(Item,2,IntegerParameter(1),1,1)/> et <SheetFr(Item,2,IntegerParameter(2),1,1)/><Indent/>!"
82,"TEXT_KINGKW303_05504_GEROLT_000_112","Vous allez dire que je me répète, mais vous avez sous les yeux mon ultime chef-d'œuvre, foi de Gerolt<Indent/>!"
83,"TEXT_KINGKW303_05504_LYDIRCEIL_000_113","Dans ces moments-là, on est forcés de s'incliner. Le mélange entre les techniques anciennes et ton ingéniosité est redoutable... Il faut bien le reconnaître, tu es le plus grand forgeron de notre époque<Indent/>!"
84,"TEXT_KINGKW303_05504_GEROLT_000_114","“De notre époque”, hein..."
85,"TEXT_KINGKW303_05504_GEROLT_000_115","Dis, toi qui as une longue expérience de mes créations, et qui leur fais toujours honneur sur le champ de bataille... Qu'est-ce que tu dirais d'insuffler tes souvenirs de combats les plus marquants dans ton arme fantôme<Indent/>?"
86,"TEXT_KINGKW303_05504_GEROLT_000_116","Mon petit doigt me dit que ce serait le meilleur moyen d'exploiter le potentiel qui y sommeille encore<Indent/>!"
87,"TEXT_KINGKW303_05504_SYSTEM_000_117","Les armes fantômes des autres jobs peuvent maintenant être améliorées. Pour cela, apportez le nombre de morceaux d'écliptite requis à Dodokkuli."
